8 degree,,,15 degree,,,45 degree,,,90 degree,,
0.08241,68.61,0.027444,0.08222,81.36,0.032544,0.08295,91.91,0.036764,0.08226,114.96,0.045984
0.08281,68.87,0.027548,0.08262,81.7,0.03268,0.08335,91.96,0.036784,0.08266,115.53,0.057765
0.08321,69.02,0.027608,0.08302,82.13,0.032852,0.08375,92.03,0.036812,0.08316,116.12,0.05806
0.08361,69.52,0.027808,0.08342,82.52,0.033008,0.08415,92.12,0.036848,0.08366,116.61,0.046644
0.08401,69.79,0.027916,0.08382,82.88,0.033152,0.08455,92.07,0.036828,0.08406,117.3,0.05865
0.08441,70.22,0.028088,0.08422,83.16,0.033264,0.08495,92.03,0.036812,0.08456,117.59,0.047036
0.08481,70.55,0.02822,0.08462,83.54,0.033416,0.08535,92.16,0.036864,0.08496,117.98,0.047192
0.08521,70.89,0.028356,0.08502,84,0.042,0.08575,92.43,0.036972,0.08536,118.64,0.05932
0.08561,71.25,0.0285,0.08552,84.26,0.025278,0.08615,92.73,0.046365,0.08586,119.33,0.047732
0.08601,71.49,0.028596,0.08582,84.53,0.033812,0.08665,92.98,0.037192,0.08626,119.95,0.059975
0.08641,71.84,0.028736,0.08622,84.99,0.033996,0.08705,93.2,0.03728,0.08676,120.3,0.04812
0.08681,72.22,0.028888,0.08662,85.33,0.034132,0.08745,93.53,0.037412,0.08716,120.83,0.048332
0.08721,72.54,0.029016,0.08702,85.72,0.034288,0.08785,93.87,0.037548,0.08756,120.97,0.048388
0.08761,72.65,0.02906,0.08742,85.91,0.034364,0.08825,94.15,0.03766,0.08796,120.67,0.048268
0.08801,73.07,0.029228,0.08782,86.29,0.034516,0.08865,94.56,0.037824,0.08836,120.96,0.06048
0.08841,73.6,0.0368,0.08822,86.78,0.04339,0.08905,94.76,0.04738,0.08886,121.66,0.048664
0.08891,73.71,0.022113,0.08872,87.06,0.034824,0.08955,94.99,0.037996,0.08926,122.11,0.048844
0.08921,74.1,0.03705,0.08912,87.28,0.034912,0.08995,95.43,0.047715,0.08966,122.77,0.049108
0.08971,74.19,0.029676,0.08952,87.95,0.03518,0.09045,95.96,0.038384,0.09006,123.21,0.049284
0.09011,74.53,0.029812,0.08992,88.2,0.03528,0.09085,96.21,0.038484,0.09046,123.54,0.037062
0.09051,74.79,0.029916,0.09032,88.52,0.035408,0.09125,96.68,0.058008,0.09076,123.94,0.049576
0.09091,75.04,0.030016,0.09072,88.96,0.035584,0.09185,97.5,0.039,0.09116,124.28,0.06214
0.09131,75.23,0.037615,0.09112,89.37,0.035748,0.09225,97.69,0.039076,0.09166,124.14,0.037242
0.09181,75.01,0.030004,0.09152,89.74,0.04487,0.09265,97.92,0.039168,0.09196,124.69,0.049876
0.09221,75.3,0.03012,0.09202,90.05,0.03602,0.09305,98.29,0.039316,0.09236,125.08,0.050032
0.09261,75.53,0.030212,0.09242,90.42,0.036168,0.09345,98.34,0.039336,0.09276,125.72,0.050288
0.09301,75.6,0.03024,0.09282,90.61,0.036244,0.09385,98.6,0.03944,0.09316,125.99,0.050396
0.09341,75.98,0.030392,0.09322,91.05,0.03642,0.09425,98.81,0.039524,0.09356,126.53,0.050612
0.09381,76.17,0.038085,0.09362,91.5,0.0366,0.09465,98.82,0.039528,0.09396,127.17,0.050868
0.09431,76.53,0.030612,0.09402,91.91,0.045955,0.09505,98.88,0.039552,0.09436,127.5,0.051
0.09471,76.55,0.038275,0.09452,92.29,0.036916,0.09545,99.15,0.03966,0.09476,128,0.0512
0.09521,76.88,0.030752,0.09492,92.6,0.03704,0.09585,99.02,0.039608,0.09516,128.46,0.06423
0.09561,77.14,0.03857,0.09532,93.17,0.046585,0.09625,99.12,0.039648,0.09566,129.04,0.051616
0.09611,77.31,0.030924,0.09582,93.3,0.03732,0.09665,99.24,0.039696,0.09606,129.61,0.051844
0.09651,77.16,0.030864,0.09622,93.82,0.04691,0.09705,99.28,0.039712,0.09646,130.06,0.052024
0.09691,77.26,0.03863,0.09672,93.97,0.046985,0.09745,99.58,0.039832,0.09686,130.69,0.052276
0.09741,77.03,0.030812,0.09722,89.45,0.03578,0.09785,99.74,0.039896,0.09726,131.2,0.0656
0.09781,76.92,0.030768,0.09762,88.26,0.035304,0.09825,100.07,0.040028,0.09776,131.59,0.052636
0.09821,77.13,0.030852,0.09802,88.61,0.035444,0.09865,100.27,0.040108,0.09816,132.2,0.05288
0.09861,77.03,0.038515,0.09842,89.02,0.035608,0.09905,100.36,0.040144,0.09856,132.77,0.053108
0.09911,77.23,0.030892,0.09882,89.38,0.04469,0.09945,100.77,0.040308,0.09896,133.09,0.053236
0.09951,77.48,0.030992,0.09932,89.93,0.035972,0.09985,101.01,0.040404,0.09936,133.72,0.053488
0.09991,77.57,0.031028,0.09972,90.48,0.04524,0.10025,101.18,0.040472,0.09976,134.18,0.053672
0.10031,77.95,0.03118,0.10022,91.04,0.036416,0.10065,101.46,0.05073,0.10016,134.65,0.067325
0.10071,78.31,0.031324,0.10062,91.48,0.027444,0.10115,101.87,0.030561,0.10066,135.24,0.054096
0.10111,78.6,0.03144,0.10092,91.88,0.036752,0.10145,101.99,0.040796,0.10106,135.98,0.06799
0.10151,78.83,0.031532,0.10132,92.32,0.04616,0.10185,102.13,0.051065,0.10156,136.49,0.054596
0.10191,79.06,0.031624,0.10182,92.91,0.037164,0.10235,102.56,0.041024,0.10196,136.9,0.06845
0.10231,79.38,0.031752,0.10222,93.38,0.037352,0.10275,102.81,0.041124,0.10246,137.45,0.05498
0.10271,79.57,0.031828,0.10262,93.85,0.03754,0.10315,103.09,0.041236,0.10286,137.65,0.05506
0.10311,79.92,0.031968,0.10302,94.26,0.037704,0.10355,103.46,0.041384,0.10326,137.81,0.068905
0.10351,80.21,0.032084,0.10342,94.66,0.037864,0.10395,103.73,0.041492,0.10376,138.23,0.055292
0.10391,80.42,0.032168,0.10382,94.99,0.037996,0.10435,103.92,0.05196,0.10416,138.56,0.06928
0.10431,80.73,0.032292,0.10422,95.5,0.0382,0.10485,104.39,0.041756,0.10466,139.16,0.055664
0.10471,81.01,0.032404,0.10462,95.9,0.03836,0.10525,104.48,0.041792,0.10506,139.59,0.055836
0.10511,81.35,0.03254,0.10502,96.32,0.038528,0.10565,104.97,0.052485,0.10546,139.94,0.055976
0.10551,81.7,0.03268,0.10542,96.55,0.03862,0.10615,105.3,0.04212,0.10586,140.43,0.056172
0.10591,81.99,0.032796,0.10582,96.66,0.038664,0.10655,105.53,0.052765,0.10626,140.97,0.056388
0.10631,82.32,0.032928,0.10622,97.15,0.03886,0.10705,105.8,0.04232,0.10666,141.16,0.056464
0.10671,82.52,0.04126,0.10662,97.54,0.04877,0.10745,105.87,0.042348,0.10706,141.69,0.056676
0.10721,82.9,0.03316,0.10712,97.75,0.0391,0.10785,106.03,0.042412,0.10746,141.93,0.056772
0.10761,83.27,0.033308,0.10752,98.35,0.03934,0.10825,106.12,0.05306,0.10786,142.22,0.056888
0.10801,83.4,0.03336,0.10792,98.71,0.039484,0.10875,106.24,0.042496,0.10826,142.58,0.057032
0.10841,83.79,0.033516,0.10832,99.02,0.039608,0.10915,106.2,0.04248,0.10866,142.83,0.057132
0.10881,84.11,0.033644,0.10872,99.38,0.039752,0.10955,106.21,0.053105,0.10906,143.3,0.05732
0.10921,84.29,0.033716,0.10912,99.71,0.039884,0.11005,105.94,0.042376,0.10946,143.49,0.057396
0.10961,84.6,0.03384,0.10952,100.16,0.040064,0.11045,105.59,0.042236,0.10986,143.73,0.057492
0.11001,84.77,0.042385,0.10992,100.22,0.05011,0.11085,105.16,0.042064,0.11026,144.23,0.057692
0.11051,85.05,0.03402,0.11042,100.82,0.040328,0.11125,103.98,0.041592,0.11066,144.62,0.057848
0.11091,85.28,0.04264,0.11082,101.25,0.0405,0.11165,102.15,0.04086,0.11106,144.93,0.057972
0.11141,85.65,0.03426,0.11122,101.44,0.040576,0.11205,101.33,0.050665,0.11146,145.23,0.058092
0.11181,85.85,0.03434,0.11162,101.93,0.050965,0.11255,100.88,0.030264,0.11186,145.81,0.058324
0.11221,86.02,0.034408,0.11212,102.31,0.040924,0.11285,99.63,0.049815,0.11226,146.05,0.073025
0.11261,86.23,0.043115,0.11252,102.76,0.041104,0.11335,96.02,0.038408,0.11276,146.45,0.05858
0.11311,86.06,0.034424,0.11292,103.18,0.05159,0.11375,93.72,0.037488,0.11316,146.6,0.04398
0.11351,86.08,0.04304,0.11342,103.65,0.04146,0.11415,92.13,0.036852,0.11346,146.56,0.07328
0.11401,85.89,0.034356,0.11382,104.12,0.05206,0.11455,91.05,0.027315,0.11396,146.83,0.058732
0.11441,85.53,0.034212,0.11432,104.54,0.05227,0.11485,89.25,0.044625,0.11436,147.08,0.044124
0.11481,85.37,0.042685,0.11482,104.91,0.041964,0.11535,88.8,0.03552,0.11466,147.01,0.073505
0.11531,85.17,0.034068,0.11522,105.26,0.042104,0.11575,88.56,0.035424,0.11516,147.2,0.05888
0.11571,84.93,0.033972,0.11562,105.61,0.042244,0.11615,88.34,0.035336,0.11556,147.14,0.07357
0.11611,84.69,0.033876,0.11602,105.93,0.042372,0.11655,88.13,0.035252,0.11606,147.42,0.058968
0.11651,83.25,0.041625,0.11642,106.55,0.053275,0.11695,87.74,0.035096,0.11646,147.47,0.073735
0.11701,81.28,0.032512,0.11692,106.75,0.032025,0.11735,87.58,0.035032,0.11696,147.71,0.059084
0.11741,80.64,0.032256,0.11722,106.91,0.042764,0.11775,87.25,0.0349,0.11736,147.51,0.059004
0.11781,80.63,0.032252,0.11762,107.46,0.042984,0.11815,87.02,0.034808,0.11776,147.65,0.05906
0.11821,80.66,0.032264,0.11802,107.74,0.05387,0.11855,85.31,0.034124,0.11816,147.32,0.07366
0.11861,80.94,0.032376,0.11852,108.18,0.043272,0.11895,83.93,0.033572,0.11866,147.6,0.05904
0.11901,81.34,0.032536,0.11892,108.36,0.032508,0.11935,83.1,0.03324,0.11906,147.82,0.07391
0.11941,81.4,0.03256,0.11922,108.16,0.043264,0.11975,82.53,0.033012,0.11956,148.17,0.059268
0.11981,81.88,0.032752,0.11962,108.3,0.04332,0.12015,82.06,0.04103,0.11996,148.42,0.07421
0.12021,82.53,0.033012,0.12002,108.74,0.043496,0.12065,81.55,0.03262,0.12046,148.35,0.05934
0.12061,82.65,0.03306,0.12042,108.99,0.043596,0.12105,80.91,0.032364,0.12086,129.86,0.06493
0.12101,83.28,0.033312,0.12082,109.15,0.04366,0.12145,80.42,0.032168,0.12136,100.22,0.040088
0.12141,83.49,0.033396,0.12122,109.56,0.043824,0.12185,79.17,0.031668,0.12176,98.23,0.039292
0.12181,83.94,0.033576,0.12162,109.86,0.043944,0.12225,77.87,0.038935,0.12216,96.9,0.03876
0.12221,84.38,0.033752,0.12202,110.25,0.0441,0.12275,76.22,0.030488,0.12256,96.22,0.038488
0.12261,84.77,0.033908,0.12242,110.59,0.044236,0.12315,73.95,0.036975,0.12296,95.85,0.03834
0.12301,85.22,0.034088,0.12282,111.12,0.044448,0.12365,67.58,0.027032,0.12336,95.73,0.047865
0.12341,85.7,0.03428,0.12322,111.41,0.044564,0.12405,30.85,0.015425,0.12386,94.87,0.037948
0.12381,85.77,0.042885,0.12362,111.71,0.044684,0.12455,17.36,0.006944,0.12426,94.38,0.037752
0.12431,86.37,0.034548,0.12402,112.12,0.05606,0.12495,16.6,0.00664,0.12466,94.16,0.037664
0.12471,86.57,0.034628,0.12452,112.24,0.044896,0.12535,16.17,0.008085,0.12506,94.11,0.028233
0.12511,87.01,0.034804,0.12492,112.78,0.045112,0.12585,15.7,0.00628,0.12536,93.8,0.03752
0.12551,87.5,0.035,0.12532,113.05,0.04522,0.12625,15.23,0.007615,0.12576,93.79,0.046895
0.12591,87.75,0.0351,0.12572,113.47,0.045388,0.12675,14.81,0.005924,0.12626,93.92,0.037568
0.12631,88.07,0.035228,0.12612,113.85,0.04554,0.12715,14.4,0.00576,0.12666,93.71,0.037484
0.12671,88.53,0.044265,0.12652,114.19,0.045676,0.12755,14.29,0.005716,0.12706,93.85,0.03754
0.12721,88.79,0.035516,0.12692,114.19,0.057095,0.12795,14.15,0.007075,0.12746,93.87,0.037548
0.12761,88.99,0.035596,0.12742,114.39,0.045756,0.12845,13.87,0.005548,0.12786,93.68,0.037472
0.12801,89.46,0.035784,0.12782,114.51,0.045804,0.12885,13.68,0.005472,0.12826,93.68,0.037472
0.12841,89.52,0.04476,0.12822,114.66,0.045864,0.12925,13.61,0.005444,0.12866,93.53,0.037412
0.12891,90.2,0.03608,0.12862,114.14,0.05707,0.12965,13.43,0.005372,0.12906,93.31,0.037324
0.12931,90.49,0.045245,0.12912,112.65,0.04506,0.13005,13.14,0.005256,0.12946,91.52,0.036608
0.12981,90.75,0.0363,0.12952,108.84,0.05442,0.13045,13.06,0.005224,0.12986,90.32,0.036128
0.13021,91.11,0.036444,0.13002,107.04,0.042816,0.13085,13.02,0.005208,0.13026,89.69,0.035876
0.13061,91.22,0.036488,0.13042,106.73,0.042692,0.13125,12.69,0.005076,0.13066,89.12,0.04456
0.13101,91.13,0.045565,0.13082,106.69,0.053345,0.13165,12.4,0.00496,0.13116,88.58,0.026574
0.13151,91.56,0.036624,0.13132,106.78,0.042712,0.13205,12.36,0.004944,0.13146,87.29,0.043645
0.13191,91.88,0.036752,0.13172,107.13,0.042852,0.13245,12.15,0.00486,0.13196,2.49,0.001245
0.13231,92.27,0.046135,0.13212,107.46,0.05373,0.13285,11.99,0.004796,0.13246,9.29,0.003716
0.13281,92.51,0.037004,0.13262,107.89,0.043156,0.13325,12.05,0.00482,0.13286,8.82,0.003528
0.13321,92.84,0.037136,0.13302,108.34,0.043336,0.13365,11.85,0.00474,0.13326,8.53,0.003412
0.13361,92.99,0.037196,0.13342,108.56,0.043424,0.13405,11.77,0.004708,0.13366,8.37,0.003348
0.13401,93.54,0.037416,0.13382,109.24,0.043696,0.13445,11.57,0.004628,0.13406,8.07,0.004035
0.13441,93.61,0.037444,0.13422,109.59,0.043836,0.13485,11.55,0.00462,0.13456,8.07,0.004035
0.13481,94.28,0.037712,0.13462,109.98,0.05499,0.13525,11.29,0.004516,0.13506,7.78,0.003112
0.13521,94.58,0.037832,0.13512,110.57,0.044228,0.13565,11.12,0.004448,0.13546,7.71,0.002313
0.13561,94.67,0.037868,0.13552,110.86,0.033258,0.13605,11.04,0.004416,0.13576,7.72,0.00386
0.13601,94.82,0.037928,0.13582,111.36,0.044544,0.13645,10.96,0.00548,0.13626,7.55,0.003775
0.13641,95.29,0.038116,0.13622,111.77,0.044708,0.13695,10.91,0.004364,0.13676,7.41,0.003705
0.13681,95.7,0.03828,0.13662,112.1,0.04484,0.13735,10.88,0.004352,0.13726,7.33,0.002932
0.13721,96.09,0.038436,0.13702,112.55,0.04502,0.13775,10.62,0.004248,0.13766,7.08,0.002832
0.13761,96.28,0.038512,0.13742,112.95,0.04518,0.13815,10.57,0.004228,0.13806,7.16,0.002864
0.13801,96.54,0.038616,0.13782,113.28,0.045312,0.13855,10.38,0.00519,0.13846,7.15,0.003575
0.13841,96.79,0.038716,0.13822,113.72,0.05686,0.13905,10.32,0.004128,0.13896,6.96,0.002784
0.13881,96.99,0.038796,0.13872,114.1,0.03423,0.13945,10.36,0.004144,0.13936,7.01,0.002804
0.13921,97.25,0.048625,0.13902,114.47,0.057235,0.13985,10.13,0.005065,0.13976,6.84,0.002736
0.13971,97.65,0.03906,0.13952,114.85,0.034455,0.14035,10.01,0.004004,0.14016,6.66,0.002664
0.14011,97.81,0.039124,0.13982,115.12,0.05756,0.14075,9.92,0.003968,0.14056,6.71,0.002684
0.14051,98.22,0.039288,0.14032,115.34,0.046136,0.14115,9.83,0.004915,0.14096,6.66,0.002664
0.14091,98.53,0.039412,0.14072,115.9,0.04636,0.14165,9.74,0.003896,0.14136,6.57,0.002628
0.14131,98.84,0.039536,0.14112,116.22,0.046488,0.14205,9.5,0.00475,0.14176,6.47,0.002588
0.14171,99,0.0396,0.14152,116.4,0.04656,0.14255,9.66,0.003864,0.14216,6.4,0.00256
0.14211,99.29,0.039716,0.14192,116.89,0.046756,0.14295,9.34,0.00467,0.14256,6.15,0.00246
0.14251,99.57,0.039828,0.14232,117.16,0.046864,0.14345,9.28,0.00464,0.14296,6.03,0.003015
0.14291,99.72,0.039888,0.14272,117.27,0.046908,0.14395,9.16,0.002748,0.14346,5.95,0.00238
0.14331,99.9,0.04995,0.14312,117.78,0.047112,0.14425,8.64,0.003456,0.14386,5.95,0.00238
0.14381,100.31,0.040124,0.14352,118.15,0.04726,0.14465,8.61,0.004305,0.14426,5.94,0.002376
0.14421,100.47,0.040188,0.14392,118.37,0.047348,0.14515,8.15,0.00326,0.14466,5.83,0.002332
0.14461,100.68,0.040272,0.14432,118.51,0.059255,0.14555,8.21,0.003284,0.14506,5.79,0.002316
0.14501,100.65,0.050325,0.14482,118.9,0.04756,0.14595,7.96,0.003184,0.14546,5.76,0.00288
0.14551,100.98,0.040392,0.14522,119.31,0.047724,0.14635,7.88,0.003152,0.14596,5.71,0.002284
0.14591,100.88,0.05044,0.14562,119.58,0.05979,0.14675,7.8,0.00312,0.14636,5.67,0.001701
0.14641,101.14,0.040456,0.14612,119.98,0.047992,0.14715,7.69,0.003076,0.14666,5.57,0.002785
0.14681,100.94,0.05047,0.14652,120.29,0.060145,0.14755,7.64,0.003056,0.14716,5.43,0.002172
0.14731,99.74,0.039896,0.14702,120.68,0.048272,0.14795,7.41,0.002964,0.14756,5.35,0.00214
0.14771,99.68,0.039872,0.14742,120.82,0.048328,0.14835,7.29,0.002916,0.14796,5.35,0.00214
0.14811,99.28,0.04964,0.14782,121.21,0.060605,0.14875,7.13,0.002852,0.14836,5.23,0.002092
0.14861,98.25,0.0393,0.14832,121.56,0.048624,0.14915,7.28,0.002912,0.14876,5.31,0.002124
0.14901,97.58,0.039032,0.14872,121.75,0.060875,0.14955,7.24,0.002896,0.14916,5.15,0.002575
0.14941,97.54,0.039016,0.14922,122.12,0.048848,0.14995,7.09,0.002836,0.14966,5.23,0.002092
0.14981,97.7,0.03908,0.14962,122.37,0.048948,0.15035,7.08,0.002832,0.15006,5.05,0.00202
0.15021,98.07,0.049035,0.15002,122.58,0.049032,0.15075,6.93,0.002772,0.15046,5.11,0.002044
0.15071,98.19,0.029457,0.15042,122.94,0.049176,0.15115,6.8,0.00272,0.15086,5.07,0.002535
0.15101,98.43,0.039372,0.15082,123.17,0.036951,0.15155,7.01,0.002804,0.15136,4.96,0.001984
0.15141,98.89,0.049445,0.15112,123.36,0.049344,0.15195,6.54,0.002616,0.15176,4.83,0.002415
0.15191,99.39,0.039756,0.15152,123.46,0.049384,0.15235,6.57,0.002628,0.15226,4.89,0.001956
0.15231,99.44,0.039776,0.15192,123.85,0.04954,0.15275,6.36,0.002544,0.15266,4.88,0.001952
0.15271,99.81,0.039924,0.15232,124,0.0496,0.15315,6.37,0.002548,0.15306,4.8,0.0024
0.15311,100.08,0.030024,0.15272,124.42,0.06221,0.15355,6.42,0.002568,0.15356,4.79,0.002395
0.15341,100.47,0.050235,0.15322,124.71,0.049884,0.15395,6.36,0.00318,0.15406,4.62,0.001848
0.15391,100.65,0.04026,0.15362,125.07,0.050028,0.15445,6.12,0.002448,0.15446,4.64,0.001856
0.15431,101.14,0.040456,0.15402,125.33,0.050132,0.15485,6.22,0.002488,0.15486,4.51,0.001804
0.15471,101.5,0.0406,0.15442,125.57,0.050228,0.15525,6.24,0.002496,0.15526,4.53,0.002265
0.15511,101.54,0.040616,0.15482,125.72,0.050288,0.15565,6.22,0.002488,0.15576,4.69,0.001876
0.15551,101.9,0.04076,0.15522,125.98,0.050392,0.15605,6.06,0.00303,0.15616,4.44,0.00222
0.15591,102.38,0.040952,0.15562,126.13,0.050452,0.15655,6.1,0.00244,0.15666,4.52,0.001808
0.15631,102.49,0.040996,0.15602,126.37,0.050548,0.15695,5.86,0.00293,0.15706,4.46,0.001784
0.15671,102.72,0.041088,0.15642,126.53,0.050612,0.15745,6.08,0.002432,0.15746,4.46,0.001784
0.15711,103.15,0.04126,0.15682,126.86,0.050744,0.15785,6.05,0.00242,0.15786,4.4,0.00176
0.15751,103.31,0.041324,0.15722,127.07,0.050828,0.15825,5.8,0.00232,0.15826,4.38,0.001314
0.15791,103.74,0.05187,0.15762,127.28,0.050912,0.15865,5.88,0.00294,0.15856,4.28,0.00214
0.15841,103.85,0.04154,0.15802,127.52,0.051008,0.15915,5.6,0.0028,0.15906,4.24,0.001696
0.15881,104.2,0.04168,0.15842,127.8,0.05112,0.15965,5.41,0.002164,0.15946,4.32,0.001728
0.15921,104.26,0.041704,0.15882,127.99,0.051196,0.16005,5.76,0.00288,0.15986,4.23,0.001692
0.15961,104.53,0.041812,0.15922,128.17,0.051268,0.16055,5.82,0.002328,0.16026,4.14,0.001656
0.16001,104.64,0.041856,0.15962,128.46,0.051384,0.16095,5.71,0.002284,0.16066,4.04,0.001616
0.16041,104.98,0.041992,0.16002,128.73,0.051492,0.16135,5.54,0.002216,0.16106,4.01,0.001604
0.16081,105.13,0.052565,0.16042,128.88,0.051552,0.16175,5.55,0.002775,0.16146,4.12,0.001648
0.16131,105.7,0.04228,0.16082,129.15,0.05166,0.16225,5.44,0.002176,0.16186,4.04,0.001616
0.16171,105.75,0.052875,0.16122,129.49,0.064745,0.16265,5.42,0.002168,0.16226,4.09,0.001636
0.16221,106.24,0.042496,0.16172,129.8,0.05192,0.16305,5.31,0.002124,0.16266,4.11,0.001644
0.16261,106.62,0.042648,0.16212,130.14,0.06507,0.16345,5.36,0.002144,0.16306,3.99,0.001995
0.16301,106.93,0.053465,0.16262,130.48,0.052192,0.16385,5.4,0.00216,0.16356,3.88,0.00194
0.16351,107.13,0.042852,0.16302,130.71,0.052284,0.16425,5.35,0.00214,0.16406,3.84,0.001536
